# z  H_LCDM[1/Mpc]  H_GREA[1/Mpc]  H_ratio-1  w_GREA
7.332968189e+02 2.761299218e+00 2.761301030e+00 6.564971575e-07 -5.726132657e-01
7.338888456e+02 2.764837090e+00 2.764838903e+00 6.554977199e-07 -5.726340256e-01
7.344813495e+02 2.768379627e+00 2.768381439e+00 6.544997058e-07 -5.726547923e-01
7.350743312e+02 2.771926834e+00 2.771928645e+00 6.535031138e-07 -5.726755658e-01
7.356677910e+02 2.775478718e+00 2.775480529e+00 6.525079415e-07 -5.726963460e-01
7.362617292e+02 2.779035285e+00 2.779037096e+00 6.515141873e-07 -5.727171329e-01
7.368561463e+02 2.782596543e+00 2.782598353e+00 6.505218491e-07 -5.727379266e-01
7.374510427e+02 2.786162496e+00 2.786164305e+00 6.495309253e-07 -5.727587270e-01
7.380464187e+02 2.789733152e+00 2.789734961e+00 6.485414139e-07 -5.727795341e-01
7.386422747e+02 2.793308516e+00 2.793310325e+00 6.475533127e-07 -5.728003479e-01
7.392386111e+02 2.796888596e+00 2.796890405e+00 6.465666202e-07 -5.728211685e-01
7.398354283e+02 2.800473399e+00 2.800475207e+00 6.455813344e-07 -5.728419958e-01
7.404327267e+02 2.804062929e+00 2.804064737e+00 6.445974532e-07 -5.728628298e-01
7.410305067e+02 2.807657194e+00 2.807659001e+00 6.436149751e-07 -5.728836704e-01
7.416287686e+02 2.811256201e+00 2.811258008e+00 6.426338979e-07 -5.729045178e-01
7.422275129e+02 2.814859955e+00 2.814861761e+00 6.416542198e-07 -5.729253719e-01
7.428267399e+02 2.818468464e+00 2.818470270e+00 6.406759390e-07 -5.729462327e-01
7.434264500e+02 2.822081734e+00 2.822083539e+00 6.396990535e-07 -5.729671001e-01
7.440266437e+02 2.825699770e+00 2.825701575e+00 6.387235614e-07 -5.729879742e-01
7.446273213e+02 2.829322581e+00 2.829324385e+00 6.377494612e-07 -5.730088550e-01
7.452284831e+02 2.832950172e+00 2.832951976e+00 6.367767504e-07 -5.730297425e-01
7.458301297e+02 2.836582550e+00 2.836584354e+00 6.358054279e-07 -5.730506367e-01
7.464322613e+02 2.840219722e+00 2.840221525e+00 6.348354911e-07 -5.730715375e-01
7.470348784e+02 2.843861693e+00 2.843863496e+00 6.338669385e-07 -5.730924449e-01
7.476379813e+02 2.847508471e+00 2.847510274e+00 6.328997681e-07 -5.731133590e-01
7.482415705e+02 2.851160063e+00 2.851161865e+00 6.319339785e-07 -5.731342798e-01
7.488456464e+02 2.854816474e+00 2.854818276e+00 6.309695675e-07 -5.731552072e-01
7.494502093e+02 2.858477712e+00 2.858479513e+00 6.300065329e-07 -5.731761413e-01
7.500552596e+02 2.862143783e+00 2.862145583e+00 6.290448733e-07 -5.731970819e-01
7.506607977e+02 2.865814693e+00 2.865816493e+00 6.280845868e-07 -5.732180293e-01
7.512668241e+02 2.869490450e+00 2.869492249e+00 6.271256714e-07 -5.732389832e-01
7.518733390e+02 2.873171059e+00 2.873172858e+00 6.261681256e-07 -5.732599437e-01
7.524803430e+02 2.876856528e+00 2.876858327e+00 6.252119473e-07 -5.732809109e-01
7.530878363e+02 2.880546864e+00 2.880548662e+00 6.242571344e-07 -5.733018847e-01
7.536958195e+02 2.884242072e+00 2.884243870e+00 6.233036858e-07 -5.733228651e-01
7.543042928e+02 2.887942160e+00 2.887943957e+00 6.223515987e-07 -5.733438521e-01
7.549132567e+02 2.891647134e+00 2.891648931e+00 6.214008721e-07 -5.733648457e-01
7.555227116e+02 2.895357001e+00 2.895358798e+00 6.204515037e-07 -5.733858459e-01
7.561326579e+02 2.899071768e+00 2.899073564e+00 6.195034918e-07 -5.734068527e-01
7.567430959e+02 2.902791441e+00 2.902793237e+00 6.185568349e-07 -5.734278660e-01
7.573540261e+02 2.906516028e+00 2.906517823e+00 6.176115306e-07 -5.734488860e-01
7.579654489e+02 2.910245534e+00 2.910247328e+00 6.166675774e-07 -5.734699125e-01
7.585773646e+02 2.913979967e+00 2.913981761e+00 6.157249737e-07 -5.734909456e-01
7.591897737e+02 2.917719333e+00 2.917721126e+00 6.147837173e-07 -5.735119852e-01
7.598026765e+02 2.921463639e+00 2.921465432e+00 6.138438065e-07 -5.735330314e-01
7.604160735e+02 2.925212892e+00 2.925214685e+00 6.129052394e-07 -5.735540842e-01
7.610299651e+02 2.928967099e+00 2.928968892e+00 6.119680145e-07 -5.735751435e-01
7.616443516e+02 2.932726266e+00 2.932728058e+00 6.110321298e-07 -5.735962094e-01
7.622592334e+02 2.936490401e+00 2.936492193e+00 6.100975836e-07 -5.736172818e-01
7.628746110e+02 2.940259510e+00 2.940261301e+00 6.091643736e-07 -5.736383608e-01
7.634904847e+02 2.944033600e+00 2.944035390e+00 6.082324988e-07 -5.736594462e-01
7.641068550e+02 2.947812677e+00 2.947814467e+00 6.073019569e-07 -5.736805383e-01
7.647237222e+02 2.951596749e+00 2.951598539e+00 6.063727462e-07 -5.737016368e-01
7.653410868e+02 2.955385823e+00 2.955387612e+00 6.054448649e-07 -5.737227419e-01
7.659589491e+02 2.959179904e+00 2.959181693e+00 6.045183114e-07 -5.737438534e-01
7.665773096e+02 2.962979001e+00 2.962980790e+00 6.035930835e-07 -5.737649715e-01
7.671961686e+02 2.966783121e+00 2.966784909e+00 6.026691799e-07 -5.737860961e-01
7.678155266e+02 2.970592269e+00 2.970594056e+00 6.017465983e-07 -5.738072272e-01
7.684353840e+02 2.974406453e+00 2.974408240e+00 6.008253375e-07 -5.738283648e-01
7.690557411e+02 2.978225679e+00 2.978227466e+00 5.999053954e-07 -5.738495089e-01
7.696765984e+02 2.982049956e+00 2.982051742e+00 5.989867702e-07 -5.738706595e-01
7.702979562e+02 2.985879289e+00 2.985881075e+00 5.980694602e-07 -5.738918165e-01
7.709198150e+02 2.989713686e+00 2.989715471e+00 5.971534638e-07 -5.739129800e-01
7.715421752e+02 2.993553153e+00 2.993554938e+00 5.962387788e-07 -5.739341501e-01
7.721650371e+02 2.997397697e+00 2.997399482e+00 5.953254036e-07 -5.739553265e-01
7.727884013e+02 3.001247327e+00 3.001249111e+00 5.944133368e-07 -5.739765095e-01
7.734122680e+02 3.005102047e+00 3.005103831e+00 5.935025762e-07 -5.739976989e-01
7.740366377e+02 3.008961866e+00 3.008963649e+00 5.925931201e-07 -5.740188947e-01
7.746615108e+02 3.012826791e+00 3.012828574e+00 5.916849670e-07 -5.740400970e-01
7.752868877e+02 3.016696828e+00 3.016698610e+00 5.907781151e-07 -5.740613058e-01
7.759127689e+02 3.020571984e+00 3.020573766e+00 5.898725624e-07 -5.740825210e-01
7.765391546e+02 3.024452267e+00 3.024454049e+00 5.889683072e-07 -5.741037426e-01
7.771660454e+02 3.028337684e+00 3.028339465e+00 5.880653480e-07 -5.741249707e-01
7.777934416e+02 3.032228241e+00 3.032230021e+00 5.871636830e-07 -5.741462052e-01
7.784213436e+02 3.036123946e+00 3.036125726e+00 5.862633101e-07 -5.741674461e-01
7.790497519e+02 3.040024805e+00 3.040026585e+00 5.853642278e-07 -5.741886934e-01
7.796786668e+02 3.043930827e+00 3.043932606e+00 5.844664346e-07 -5.742099472e-01
7.803080888e+02 3.047842017e+00 3.047843796e+00 5.835699284e-07 -5.742312073e-01
7.809380183e+02 3.051758383e+00 3.051760161e+00 5.826747078e-07 -5.742524739e-01
7.815684557e+02 3.055679933e+00 3.055681710e+00 5.817807707e-07 -5.742737469e-01
7.821994013e+02 3.059606672e+00 3.059608450e+00 5.808881154e-07 -5.742950262e-01
7.828308556e+02 3.063538610e+00 3.063540386e+00 5.799967404e-07 -5.743163120e-01
7.834628191e+02 3.067475751e+00 3.067477528e+00 5.791066440e-07 -5.743376041e-01
7.840952921e+02 3.071418104e+00 3.071419880e+00 5.782178243e-07 -5.743589026e-01
7.847282750e+02 3.075365677e+00 3.075367452e+00 5.773302796e-07 -5.743802075e-01
7.853617682e+02 3.079318475e+00 3.079320250e+00 5.764440083e-07 -5.744015188e-01
7.859957722e+02 3.083276506e+00 3.083278281e+00 5.755590087e-07 -5.744228364e-01
7.866302874e+02 3.087239778e+00 3.087241552e+00 5.746752789e-07 -5.744441604e-01
7.872653141e+02 3.091208298e+00 3.091210071e+00 5.737928173e-07 -5.744654907e-01
7.879008529e+02 3.095182072e+00 3.095183845e+00 5.729116224e-07 -5.744868275e-01
7.885369040e+02 3.099161108e+00 3.099162881e+00 5.720316918e-07 -5.745081705e-01
7.891734679e+02 3.103145414e+00 3.103147187e+00 5.711530247e-07 -5.745295199e-01
7.898105451e+02 3.107134996e+00 3.107136768e+00 5.702756187e-07 -5.745508756e-01
7.904481359e+02 3.111129862e+00 3.111131634e+00 5.693994725e-07 -5.745722377e-01
7.910862408e+02 3.115130020e+00 3.115131791e+00 5.685245841e-07 -5.745936061e-01
7.917248602e+02 3.119135475e+00 3.119137246e+00 5.676509522e-07 -5.746149808e-01
7.923639944e+02 3.123146236e+00 3.123148006e+00 5.667785747e-07 -5.746363619e-01
7.930036440e+02 3.127162310e+00 3.127164080e+00 5.659074500e-07 -5.746577492e-01
7.936438092e+02 3.131183704e+00 3.131185474e+00 5.650375767e-07 -5.746791429e-01
7.942844906e+02 3.135210426e+00 3.135212195e+00 5.641689527e-07 -5.747005429e-01
7.949256886e+02 3.139242483e+00 3.139244252e+00 5.633015767e-07 -5.747219492e-01
7.955674035e+02 3.143279882e+00 3.143281650e+00 5.624354469e-07 -5.747433617e-01
7.962096358e+02 3.147322631e+00 3.147324398e+00 5.615705614e-07 -5.747647806e-01
7.968523858e+02 3.151370736e+00 3.151372503e+00 5.607069187e-07 -5.747862058e-01
7.974956542e+02 3.155424206e+00 3.155425973e+00 5.598445172e-07 -5.748076372e-01
7.981394411e+02 3.159483048e+00 3.159484814e+00 5.589833549e-07 -5.748290749e-01
7.987837471e+02 3.163547269e+00 3.163549034e+00 5.581234304e-07 -5.748505189e-01
7.994285726e+02 3.167616876e+00 3.167618641e+00 5.572647419e-07 -5.748719692e-01
8.000739179e+02 3.171691877e+00 3.171693642e+00 5.564072880e-07 -5.748934257e-01
8.007197836e+02 3.175772280e+00 3.175774044e+00 5.555510667e-07 -5.749148885e-01
8.013661700e+02 3.179858091e+00 3.179859855e+00 5.546960766e-07 -5.749363575e-01
8.020130775e+02 3.183949319e+00 3.183951082e+00 5.538423160e-07 -5.749578328e-01
8.026605066e+02 3.188045970e+00 3.188047733e+00 5.529897833e-07 -5.749793143e-01
8.033084577e+02 3.192148053e+00 3.192149815e+00 5.521384763e-07 -5.750008021e-01
8.039569312e+02 3.196255574e+00 3.196257336e+00 5.512883938e-07 -5.750222961e-01
8.046059276e+02 3.200368541e+00 3.200370303e+00 5.504395344e-07 -5.750437963e-01
8.052554472e+02 3.204486962e+00 3.204488723e+00 5.495918958e-07 -5.750653028e-01
8.059054905e+02 3.208610844e+00 3.208612605e+00 5.487454768e-07 -5.750868155e-01
8.065560578e+02 3.212740195e+00 3.212741955e+00 5.479002756e-07 -5.751083344e-01
8.072071497e+02 3.216875022e+00 3.216876782e+00 5.470562907e-07 -5.751298595e-01
8.078587666e+02 3.221015333e+00 3.221017092e+00 5.462135204e-07 -5.751513908e-01
8.085109088e+02 3.225161135e+00 3.225162894e+00 5.453719629e-07 -5.751729283e-01
8.091635767e+02 3.229312436e+00 3.229314194e+00 5.445316167e-07 -5.751944720e-01
8.098167709e+02 3.233469243e+00 3.233471001e+00 5.436924801e-07 -5.752160220e-01
8.104704918e+02 3.237631565e+00 3.237633322e+00 5.428545518e-07 -5.752375781e-01
8.111247397e+02 3.241799408e+00 3.241801165e+00 5.420178295e-07 -5.752591403e-01
8.117795151e+02 3.245972780e+00 3.245974537e+00 5.411823123e-07 -5.752807088e-01
8.124348184e+02 3.250151690e+00 3.250153446e+00 5.403479979e-07 -5.753022834e-01
8.130906500e+02 3.254336143e+00 3.254337899e+00 5.395148852e-07 -5.753238643e-01
8.137470104e+02 3.258526149e+00 3.258527905e+00 5.386829720e-07 -5.753454512e-01
8.144039000e+02 3.262721715e+00 3.262723470e+00 5.378522574e-07 -5.753670444e-01
8.150613192e+02 3.266922848e+00 3.266924603e+00 5.370227396e-07 -5.753886436e-01
8.157192685e+02 3.271129557e+00 3.271131311e+00 5.361944164e-07 -5.754102491e-01
8.163777482e+02 3.275341848e+00 3.275343602e+00 5.353672869e-07 -5.754318607e-01
8.170367588e+02 3.279559730e+00 3.279561483e+00 5.345413490e-07 -5.754534784e-01
8.176963008e+02 3.283783210e+00 3.283784963e+00 5.337166011e-07 -5.754751022e-01
8.183563745e+02 3.288012296e+00 3.288014048e+00 5.328930421e-07 -5.754967322e-01
8.190169804e+02 3.292246996e+00 3.292248747e+00 5.320706700e-07 -5.755183684e-01
8.196781189e+02 3.296487317e+00 3.296489068e+00 5.312494831e-07 -5.755400106e-01
8.203397904e+02 3.300733267e+00 3.300735018e+00 5.304294801e-07 -5.755616590e-01
8.210019955e+02 3.304984854e+00 3.304986605e+00 5.296106591e-07 -5.755833134e-01
8.216647344e+02 3.309242087e+00 3.309243836e+00 5.287930187e-07 -5.756049740e-01
8.223280076e+02 3.313504971e+00 3.313506721e+00 5.279765574e-07 -5.756266407e-01
8.229918157e+02 3.317773516e+00 3.317775265e+00 5.271612733e-07 -5.756483134e-01
8.236561589e+02 3.322047729e+00 3.322049478e+00 5.263471650e-07 -5.756699923e-01
8.243210377e+02 3.326327618e+00 3.326329366e+00 5.255342308e-07 -5.756916773e-01
8.249864526e+02 3.330613191e+00 3.330614939e+00 5.247224690e-07 -5.757133683e-01
8.256524040e+02 3.334904455e+00 3.334906203e+00 5.239118788e-07 -5.757350654e-01
8.263188923e+02 3.339201419e+00 3.339203166e+00 5.231024576e-07 -5.757567686e-01
8.269859180e+02 3.343504091e+00 3.343505837e+00 5.222942041e-07 -5.757784779e-01
8.276534815e+02 3.347812477e+00 3.347814223e+00 5.214871170e-07 -5.758001932e-01
8.283215832e+02 3.352126587e+00 3.352128332e+00 5.206811948e-07 -5.758219146e-01
8.289902235e+02 3.356446428e+00 3.356448172e+00 5.198764355e-07 -5.758436420e-01
8.296594029e+02 3.360772007e+00 3.360773752e+00 5.190728376e-07 -5.758653755e-01
8.303291219e+02 3.365103334e+00 3.365105078e+00 5.182703997e-07 -5.758871150e-01
8.309993808e+02 3.369440415e+00 3.369442158e+00 5.174691202e-07 -5.759088606e-01
8.316701801e+02 3.373783259e+00 3.373785002e+00 5.166689976e-07 -5.759306122e-01
8.323415203e+02 3.378131874e+00 3.378133616e+00 5.158700302e-07 -5.759523699e-01
8.330134017e+02 3.382486267e+00 3.382488009e+00 5.150722167e-07 -5.759741335e-01
8.336858248e+02 3.386846447e+00 3.386848189e+00 5.142755550e-07 -5.759959032e-01
8.343587900e+02 3.391212422e+00 3.391214163e+00 5.134800440e-07 -5.760176789e-01
8.350322979e+02 3.395584199e+00 3.395585940e+00 5.126856819e-07 -5.760394606e-01
8.357063487e+02 3.399961787e+00 3.399963527e+00 5.118924673e-07 -5.760612484e-01
8.363809430e+02 3.404345194e+00 3.404346934e+00 5.111003987e-07 -5.760830421e-01
8.370560812e+02 3.408734427e+00 3.408736167e+00 5.103094742e-07 -5.761048418e-01
8.377317638e+02 3.413129495e+00 3.413131234e+00 5.095196927e-07 -5.761266475e-01
8.384079911e+02 3.417530406e+00 3.417532145e+00 5.087310524e-07 -5.761484592e-01
8.390847636e+02 3.421937168e+00 3.421938906e+00 5.079435517e-07 -5.761702769e-01
8.397620817e+02 3.426349789e+00 3.426351527e+00 5.071571891e-07 -5.761921005e-01
8.404399460e+02 3.430768277e+00 3.430770015e+00 5.063719632e-07 -5.762139302e-01
8.411183567e+02 3.435192640e+00 3.435194377e+00 5.055878725e-07 -5.762357658e-01
8.417973145e+02 3.439622887e+00 3.439624623e+00 5.048049152e-07 -5.762576073e-01
8.424768196e+02 3.444059025e+00 3.444060761e+00 5.040230897e-07 -5.762794549e-01
8.431568726e+02 3.448501063e+00 3.448502798e+00 5.032423949e-07 -5.763013083e-01
8.438374739e+02 3.452949008e+00 3.452950743e+00 5.024628289e-07 -5.763231678e-01
8.445186239e+02 3.457402869e+00 3.457404604e+00 5.016843905e-07 -5.763450331e-01
8.452003231e+02 3.461862655e+00 3.461864389e+00 5.009070778e-07 -5.763669044e-01
8.458825719e+02 3.466328372e+00 3.466330106e+00 5.001308894e-07 -5.763887817e-01
8.465653708e+02 3.470800030e+00 3.470801764e+00 4.993558240e-07 -5.764106648e-01
8.472487202e+02 3.475277637e+00 3.475279370e+00 4.985818798e-07 -5.764325539e-01
8.479326206e+02 3.479761201e+00 3.479762933e+00 4.978090553e-07 -5.764544489e-01
8.486170723e+02 3.484250730e+00 3.484252462e+00 4.970373493e-07 -5.764763498e-01
8.493020759e+02 3.488746232e+00 3.488747964e+00 4.962667597e-07 -5.764982567e-01
8.499876317e+02 3.493247717e+00 3.493249447e+00 4.954972856e-07 -5.765201694e-01
8.506737403e+02 3.497755191e+00 3.497756921e+00 4.947289252e-07 -5.765420881e-01
8.513604021e+02 3.502268663e+00 3.502270393e+00 4.939616767e-07 -5.765640126e-01
8.520476175e+02 3.506788142e+00 3.506789871e+00 4.931955391e-07 -5.765859430e-01
8.527353869e+02 3.511313635e+00 3.511315364e+00 4.924305106e-07 -5.766078793e-01
8.534237109e+02 3.515845152e+00 3.515846881e+00 4.916665899e-07 -5.766298215e-01
8.541125898e+02 3.520382700e+00 3.520384429e+00 4.909037754e-07 -5.766517696e-01
8.548020241e+02 3.524926289e+00 3.524928016e+00 4.901420654e-07 -5.766737235e-01
8.554920143e+02 3.529475925e+00 3.529477652e+00 4.893814587e-07 -5.766956833e-01
8.561825608e+02 3.534031618e+00 3.534033345e+00 4.886219538e-07 -5.767176490e-01
8.568736641e+02 3.538593376e+00 3.538595102e+00 4.878635489e-07 -5.767396205e-01
8.575653245e+02 3.543161207e+00 3.543162933e+00 4.871062429e-07 -5.767615978e-01
8.582575426e+02 3.547735120e+00 3.547736846e+00 4.863500340e-07 -5.767835811e-01
8.589503188e+02 3.552315124e+00 3.552316849e+00 4.855949207e-07 -5.768055701e-01
8.596436536e+02 3.556901225e+00 3.556902950e+00 4.848409016e-07 -5.768275650e-01
8.603375473e+02 3.561493434e+00 3.561495158e+00 4.840879755e-07 -5.768495657e-01
8.610320005e+02 3.566091759e+00 3.566093482e+00 4.833361404e-07 -5.768715723e-01
8.617270136e+02 3.570696207e+00 3.570697930e+00 4.825853954e-07 -5.768935847e-01
8.624225871e+02 3.575306788e+00 3.575308511e+00 4.818357384e-07 -5.769156028e-01
8.631187213e+02 3.579923510e+00 3.579925232e+00 4.810871683e-07 -5.769376268e-01
8.638154169e+02 3.584546381e+00 3.584548103e+00 4.803396836e-07 -5.769596566e-01
8.645126741e+02 3.589175410e+00 3.589177132e+00 4.795932826e-07 -5.769816923e-01
8.652104935e+02 3.593810606e+00 3.593812327e+00 4.788479639e-07 -5.770037337e-01
8.659088755e+02 3.598451977e+00 3.598453697e+00 4.781037266e-07 -5.770257809e-01
8.666078206e+02 3.603099531e+00 3.603101251e+00 4.773605684e-07 -5.770478338e-01
8.673073292e+02 3.607753277e+00 3.607754997e+00 4.766184882e-07 -5.770698926e-01
8.680074018e+02 3.612413225e+00 3.612414944e+00 4.758774848e-07 -5.770919572e-01
8.687080388e+02 3.617079381e+00 3.617081100e+00 4.751375562e-07 -5.771140275e-01
8.694092407e+02 3.621751756e+00 3.621753474e+00 4.743987014e-07 -5.771361036e-01
8.701110080e+02 3.626430357e+00 3.626432074e+00 4.736609185e-07 -5.771581854e-01
8.708133411e+02 3.631115193e+00 3.631116910e+00 4.729242065e-07 -5.771802730e-01
8.715162404e+02 3.635806273e+00 3.635807990e+00 4.721885636e-07 -5.772023664e-01
8.722197064e+02 3.640503605e+00 3.640505322e+00 4.714539885e-07 -5.772244655e-01
8.729237396e+02 3.645207199e+00 3.645208915e+00 4.707204799e-07 -5.772465703e-01
8.736283404e+02 3.649917063e+00 3.649918778e+00 4.699880360e-07 -5.772686809e-01
8.743335093e+02 3.654633204e+00 3.654634919e+00 4.692566555e-07 -5.772907972e-01
8.750392467e+02 3.659355634e+00 3.659357348e+00 4.685263371e-07 -5.773129193e-01
8.757455532e+02 3.664084359e+00 3.664086073e+00 4.677970793e-07 -5.773350470e-01
8.764524291e+02 3.668819388e+00 3.668821102e+00 4.670688805e-07 -5.773571805e-01
8.771598749e+02 3.673560731e+00 3.673562445e+00 4.663417394e-07 -5.773793197e-01
8.778678911e+02 3.678308397e+00 3.678310109e+00 4.656156543e-07 -5.774014646e-01
8.785764782e+02 3.683062393e+00 3.683064105e+00 4.648906242e-07 -5.774236152e-01
8.792856365e+02 3.687822729e+00 3.687824440e+00 4.641666473e-07 -5.774457716e-01
8.799953666e+02 3.692589413e+00 3.692591124e+00 4.634437225e-07 -5.774679336e-01
8.807056689e+02 3.697362454e+00 3.697364165e+00 4.627218484e-07 -5.774901013e-01
8.814165439e+02 3.702141862e+00 3.702143573e+00 4.620010230e-07 -5.775122746e-01
8.821279921e+02 3.706927645e+00 3.706929355e+00 4.612812452e-07 -5.775344537e-01
8.828400138e+02 3.711719811e+00 3.711721521e+00 4.605625139e-07 -5.775566384e-01
8.835526096e+02 3.716518370e+00 3.716520079e+00 4.598448271e-07 -5.775788288e-01
8.842657800e+02 3.721323331e+00 3.721325039e+00 4.591281837e-07 -5.776010249e-01
8.849795253e+02 3.726134702e+00 3.726136410e+00 4.584125823e-07 -5.776232266e-01
8.856938461e+02 3.730952492e+00 3.730954199e+00 4.576980217e-07 -5.776454340e-01
8.864087428e+02 3.735776710e+00 3.735778417e+00 4.569844998e-07 -5.776676470e-01
8.871242159e+02 3.740607366e+00 3.740609072e+00 4.562720157e-07 -5.776898656e-01
8.878402658e+02 3.745444467e+00 3.745446173e+00 4.555605679e-07 -5.777120899e-01
8.885568931e+02 3.750288024e+00 3.750289729e+00 4.548501551e-07 -5.777343199e-01
8.892740982e+02 3.755138044e+00 3.755139749e+00 4.541407757e-07 -5.777565555e-01
8.899918814e+02 3.759994537e+00 3.759996242e+00 4.534324283e-07 -5.777787966e-01
8.907102435e+02 3.764857513e+00 3.764859217e+00 4.527251116e-07 -5.778010435e-01
8.914291846e+02 3.769726979e+00 3.769728683e+00 4.520188239e-07 -5.778232959e-01
8.921487055e+02 3.774602945e+00 3.774604648e+00 4.513135645e-07 -5.778455539e-01
8.928688064e+02 3.779485420e+00 3.779487123e+00 4.506093312e-07 -5.778678175e-01
8.935894879e+02 3.784374413e+00 3.784376115e+00 4.499061230e-07 -5.778900868e-01
8.943107505e+02 3.789269932e+00 3.789271635e+00 4.492039387e-07 -5.779123616e-01
8.950325946e+02 3.794171988e+00 3.794173690e+00 4.485027763e-07 -5.779346420e-01
8.957550207e+02 3.799080590e+00 3.799082291e+00 4.478026350e-07 -5.779569280e-01
8.964780292e+02 3.803995745e+00 3.803997446e+00 4.471035131e-07 -5.779792196e-01
8.972016207e+02 3.808917464e+00 3.808919164e+00 4.464054093e-07 -5.780015167e-01
8.979257955e+02 3.813845755e+00 3.813847455e+00 4.457083220e-07 -5.780238195e-01
8.986505542e+02 3.818780628e+00 3.818782327e+00 4.450122504e-07 -5.780461277e-01
8.993758973e+02 3.823722091e+00 3.823723790e+00 4.443171926e-07 -5.780684416e-01
9.001018252e+02 3.828670155e+00 3.828671853e+00 4.436231471e-07 -5.780907610e-01
9.008283383e+02 3.833624827e+00 3.833626525e+00 4.429301130e-07 -5.781130859e-01
9.015554372e+02 3.838586118e+00 3.838587816e+00 4.422380886e-07 -5.781354164e-01
9.022831223e+02 3.843554036e+00 3.843555733e+00 4.415470727e-07 -5.781577524e-01
9.030113941e+02 3.848528591e+00 3.848530288e+00 4.408570637e-07 -5.781800940e-01
9.037402531e+02 3.853509792e+00 3.853511488e+00 4.401680607e-07 -5.782024411e-01
9.044696997e+02 3.858497648e+00 3.858499343e+00 4.394800617e-07 -5.782247937e-01
9.051997345e+02 3.863492168e+00 3.863493863e+00 4.387930657e-07 -5.782471518e-01
9.059303578e+02 3.868493362e+00 3.868495056e+00 4.381070711e-07 -5.782695155e-01
9.066615702e+02 3.873501238e+00 3.873502933e+00 4.374220770e-07 -5.782918846e-01
9.073933722e+02 3.878515807e+00 3.878517501e+00 4.367380815e-07 -5.783142593e-01
9.081257641e+02 3.883537078e+00 3.883538771e+00 4.360550836e-07 -5.783366394e-01
9.088587466e+02 3.888565059e+00 3.888566752e+00 4.353730818e-07 -5.783590251e-01
9.095923200e+02 3.893599760e+00 3.893601452e+00 4.346920746e-07 -5.783814162e-01
9.103264848e+02 3.898641191e+00 3.898642883e+00 4.340120610e-07 -5.784038128e-01
9.110612416e+02 3.903689360e+00 3.903691052e+00 4.333330392e-07 -5.784262149e-01
9.117965908e+02 3.908744278e+00 3.908745969e+00 4.326550083e-07 -5.784486225e-01
9.125325328e+02 3.913805954e+00 3.913807644e+00 4.319779665e-07 -5.784710355e-01
9.132690682e+02 3.918874396e+00 3.918876086e+00 4.313019129e-07 -5.784934540e-01
9.140061974e+02 3.923949615e+00 3.923951305e+00 4.306268457e-07 -5.785158780e-01
9.147439210e+02 3.929031619e+00 3.929033309e+00 4.299527641e-07 -5.785383074e-01
9.154822393e+02 3.934120419e+00 3.934122108e+00 4.292796663e-07 -5.785607423e-01
9.162211529e+02 3.939216024e+00 3.939217712e+00 4.286075510e-07 -5.785831826e-01
9.169606623e+02 3.944318443e+00 3.944320131e+00 4.279364170e-07 -5.786056283e-01
9.177007678e+02 3.949427685e+00 3.949429373e+00 4.272662630e-07 -5.786280795e-01
9.184414701e+02 3.954543761e+00 3.954545448e+00 4.265970874e-07 -5.786505361e-01
9.191827696e+02 3.959666679e+00 3.959668365e+00 4.259288893e-07 -5.786729981e-01
9.199246668e+02 3.964796449e+00 3.964798135e+00 4.252616670e-07 -5.786954655e-01
9.206671621e+02 3.969933082e+00 3.969934767e+00 4.245954193e-07 -5.787179384e-01
9.214102560e+02 3.975076585e+00 3.975078270e+00 4.239301448e-07 -5.787404166e-01
9.221539491e+02 3.980226969e+00 3.980228654e+00 4.232658424e-07 -5.787629003e-01
9.228982417e+02 3.985384244e+00 3.985385928e+00 4.226025103e-07 -5.787853893e-01
9.236431345e+02 3.990548419e+00 3.990550103e+00 4.219401477e-07 -5.788078838e-01
9.243886278e+02 3.995719503e+00 3.995721186e+00 4.212787528e-07 -5.788303836e-01
9.251347222e+02 4.000897507e+00 4.000899189e+00 4.206183246e-07 -5.788528888e-01
9.258814181e+02 4.006082439e+00 4.006084121e+00 4.199588617e-07 -5.788753994e-01
9.266287160e+02 4.011274310e+00 4.011275992e+00 4.193003629e-07 -5.788979154e-01
9.273766165e+02 4.016473129e+00 4.016474810e+00 4.186428266e-07 -5.789204367e-01
9.281251199e+02 4.021678906e+00 4.021680587e+00 4.179862521e-07 -5.789429634e-01
9.288742268e+02 4.026891650e+00 4.026893331e+00 4.173306372e-07 -5.789654955e-01
9.296239377e+02 4.032111372e+00 4.032113052e+00 4.166759811e-07 -5.789880329e-01
9.303742530e+02 4.037338081e+00 4.037339760e+00 4.160222824e-07 -5.790105756e-01
9.311251733e+02 4.042571786e+00 4.042573465e+00 4.153695397e-07 -5.790331237e-01
9.318766990e+02 4.047812498e+00 4.047814177e+00 4.147177521e-07 -5.790556771e-01
9.326288307e+02 4.053060226e+00 4.053061904e+00 4.140669176e-07 -5.790782359e-01
9.333815687e+02 4.058314980e+00 4.058316658e+00 4.134170355e-07 -5.791007999e-01
9.341349136e+02 4.063576769e+00 4.063578447e+00 4.127681044e-07 -5.791233693e-01
9.348888659e+02 4.068845605e+00 4.068847282e+00 4.121201227e-07 -5.791459440e-01
9.356434261e+02 4.074121495e+00 4.074123172e+00 4.114730894e-07 -5.791685241e-01
