# z  H_LCDM[1/Mpc]  H_GREA[1/Mpc]  H_ratio-1  w_GREA
5.633238606e-02 2.394821072e-04 2.394522361e-04 -1.247323454e-04 -1.012303667e+00
5.718405381e-02 2.395764940e-04 2.395442056e-04 -1.347726888e-04 -1.012596275e+00
5.803640822e-02 2.396710719e-04 2.396363113e-04 -1.450347721e-04 -1.012888731e+00
5.888944983e-02 2.397658414e-04 2.397285535e-04 -1.555178721e-04 -1.013181032e+00
5.974317921e-02 2.398608027e-04 2.398209327e-04 -1.662212638e-04 -1.013473179e+00
6.059759691e-02 2.399559562e-04 2.399134494e-04 -1.771442187e-04 -1.013765169e+00
6.145270349e-02 2.400513022e-04 2.400061039e-04 -1.882860093e-04 -1.014057002e+00
6.230849949e-02 2.401468411e-04 2.400988968e-04 -1.996459074e-04 -1.014348676e+00
6.316498548e-02 2.402425732e-04 2.401918284e-04 -2.112231807e-04 -1.014640191e+00
6.402216201e-02 2.403384987e-04 2.402848991e-04 -2.230170954e-04 -1.014931545e+00
6.488002964e-02 2.404346181e-04 2.403781095e-04 -2.350269159e-04 -1.015222736e+00
6.573858893e-02 2.405309316e-04 2.404714599e-04 -2.472519049e-04 -1.015513765e+00
6.659784042e-02 2.406274396e-04 2.405649508e-04 -2.596913237e-04 -1.015804628e+00
6.745778469e-02 2.407241425e-04 2.406585826e-04 -2.723444318e-04 -1.016095327e+00
6.831842229e-02 2.408210405e-04 2.407523558e-04 -2.852104902e-04 -1.016385858e+00
6.917975378e-02 2.409181339e-04 2.408462708e-04 -2.982887503e-04 -1.016676221e+00
7.004177972e-02 2.410154232e-04 2.409403280e-04 -3.115784671e-04 -1.016966415e+00
7.090450066e-02 2.411129086e-04 2.410345279e-04 -3.250788938e-04 -1.017256439e+00
7.176791718e-02 2.412105905e-04 2.411288709e-04 -3.387892822e-04 -1.017546291e+00
7.263202982e-02 2.413084692e-04 2.412233576e-04 -3.527088823e-04 -1.017835970e+00
7.349683915e-02 2.414065450e-04 2.413179882e-04 -3.668369425e-04 -1.018125475e+00
7.436234574e-02 2.415048184e-04 2.414127633e-04 -3.811727096e-04 -1.018414805e+00
7.522855014e-02 2.416032895e-04 2.415076833e-04 -3.957154268e-04 -1.018703959e+00
7.609545291e-02 2.417019587e-04 2.416027487e-04 -4.104643397e-04 -1.018992935e+00
7.696305463e-02 2.418008265e-04 2.416979599e-04 -4.254186919e-04 -1.019281732e+00
7.783135585e-02 2.418998930e-04 2.417933173e-04 -4.405777237e-04 -1.019570350e+00
7.870035714e-02 2.419991587e-04 2.418888214e-04 -4.559406737e-04 -1.019858786e+00
7.957005906e-02 2.420986238e-04 2.419844727e-04 -4.715067793e-04 -1.020147039e+00
8.044046218e-02 2.421982888e-04 2.420802715e-04 -4.872752761e-04 -1.020435109e+00
8.131156706e-02 2.422981539e-04 2.421762185e-04 -5.032453983e-04 -1.020722994e+00
8.218337427e-02 2.423982195e-04 2.422723139e-04 -5.194163787e-04 -1.021010694e+00
8.305588437e-02 2.424984859e-04 2.423685583e-04 -5.357874492e-04 -1.021298205e+00
8.392909793e-02 2.425989535e-04 2.424649521e-04 -5.523578385e-04 -1.021585529e+00
8.480301552e-02 2.426996226e-04 2.425614957e-04 -5.691267750e-04 -1.021872662e+00
8.567763771e-02 2.428004935e-04 2.426581897e-04 -5.860934857e-04 -1.022159605e+00
8.655296506e-02 2.429015666e-04 2.427550345e-04 -6.032571960e-04 -1.022446356e+00
8.742899815e-02 2.430028422e-04 2.428520304e-04 -6.206171301e-04 -1.022732913e+00
8.830573753e-02 2.431043206e-04 2.429491781e-04 -6.381725106e-04 -1.023019276e+00
8.918318379e-02 2.432060022e-04 2.430464779e-04 -6.559225587e-04 -1.023305443e+00
9.006133749e-02 2.433078874e-04 2.431439303e-04 -6.738664930e-04 -1.023591413e+00
9.094019920e-02 2.434099764e-04 2.432415358e-04 -6.920035333e-04 -1.023877184e+00
9.181976949e-02 2.435122696e-04 2.433392949e-04 -7.103328971e-04 -1.024162756e+00
9.270004893e-02 2.436147674e-04 2.434372079e-04 -7.288538001e-04 -1.024448128e+00
9.358103810e-02 2.437174701e-04 2.435352753e-04 -7.475654564e-04 -1.024733297e+00
9.446273757e-02 2.438203780e-04 2.436334977e-04 -7.664670787e-04 -1.025018264e+00
9.534514790e-02 2.439234914e-04 2.437318754e-04 -7.855578787e-04 -1.025303026e+00
9.622826968e-02 2.440268108e-04 2.438304090e-04 -8.048370665e-04 -1.025587582e+00
9.711210348e-02 2.441303364e-04 2.439290989e-04 -8.243038512e-04 -1.025871931e+00
9.799664986e-02 2.442340687e-04 2.440279455e-04 -8.439574406e-04 -1.026156073e+00
9.888190942e-02 2.443380079e-04 2.441269494e-04 -8.637970402e-04 -1.026440005e+00
9.976788271e-02 2.444421543e-04 2.442261110e-04 -8.838218551e-04 -1.026723726e+00
1.006545703e-01 2.445465084e-04 2.443254308e-04 -9.040310891e-04 -1.027007235e+00
1.015419728e-01 2.446510705e-04 2.444249092e-04 -9.244239447e-04 -1.027290532e+00
1.024300908e-01 2.447558409e-04 2.445245467e-04 -9.449996232e-04 -1.027573614e+00
1.033189248e-01 2.448608199e-04 2.446243438e-04 -9.657573247e-04 -1.027856481e+00
1.042084754e-01 2.449660079e-04 2.447243009e-04 -9.866962479e-04 -1.028139130e+00
1.050987433e-01 2.450714054e-04 2.448244186e-04 -1.007815594e-03 -1.028421562e+00
1.059897289e-01 2.451770125e-04 2.449246972e-04 -1.029114555e-03 -1.028703775e+00
1.068814329e-01 2.452828296e-04 2.450251373e-04 -1.050592325e-03 -1.028985766e+00
1.077738558e-01 2.453888571e-04 2.451257394e-04 -1.072248098e-03 -1.029267536e+00
1.086669982e-01 2.454950954e-04 2.452265039e-04 -1.094081069e-03 -1.029549083e+00
